,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,1000,0,4.404671,13.318386,0.482036,0.240388
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,1000,0,4.404671,13.318386,0.464820,0.236571
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,1000,0,4.404671,13.318386,0.449850,0.232765
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.050000,1000,0,4.404671,13.318386,0.441617,0.231827
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.060000,1000,0,4.404671,13.318386,0.434132,0.230250
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.070000,1000,0,4.404671,13.318386,0.423653,0.226763
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.080000,1000,0,4.404671,13.318386,0.413174,0.222940
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.090000,1000,0,4.404671,13.318386,0.407186,0.221589
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.100000,1000,0,4.404671,13.318386,0.395958,0.217248
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.150000,1000,0,4.404671,13.318386,0.363772,0.207161
