,Graph,Size,Edges,Density,Conversion Time
,CA-GrQc_component,4158,13428,0.001554,0.095000
,Graph,Size,Edges,Density,Conversion Time
,CA-GrQc_component,4158,13428,0.001554,0.096000
,Graph,Size,Edges,Density,Conversion Time
,CA-GrQc_component,4158,13428,0.001554,0.097000
