,Size,Edges,Density,O1 Time,O2 Time,Outerplanar Struct Time,BFS Time,Snap BFS,DFS Time,Factor,Samples,Not Outerplanar Samplings,Not Maximal Samplings,Avg. Maximal Output Edges,Std. Maximal Output Edges,Avg. Output Edges,Std. Output Edges,Avg. Missing Edges per Graph,Std. Missing Edges per Graph,Avg. % of Maximal outerplanar graph,Std. % of Maximal outerplanar graph,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,1000,3996,0.008000,0.594756,1.882819,1.288063,0.576504,1.381683,0.577068,1.031660,100,0,0,-nan,0.000000,1080.350000,5.795113,-nan,0.000000,-nan,0.000000,246.840000,24.933333,251.290000,102.774766,25.790000,10.687759
,1000,4995,0.010000,0.720569,2.071179,1.350610,0.680182,1.668512,0.681429,1.059377,100,0,0,-nan,0.000000,1096.560000,5.648491,-nan,0.000000,-nan,0.000000,206.010000,22.528767,261.710000,103.868146,30.730000,11.975442
,1000,5994,0.012000,0.766158,2.091878,1.325720,0.752508,1.861270,0.760212,1.018139,100,0,0,-nan,0.000000,1110.370000,6.390737,-nan,0.000000,-nan,0.000000,182.970000,22.204038,247.930000,104.054304,32.950000,13.723367
,1000,6993,0.014000,0.848001,2.193338,1.345337,0.825692,1.981960,0.827902,1.027019,100,0,0,-nan,0.000000,1121.860000,8.504330,-nan,0.000000,-nan,0.000000,165.080000,20.280697,231.500000,97.789663,32.760000,13.533438
,1000,7992,0.016000,0.925484,2.305876,1.380392,0.921780,2.248689,0.918217,1.004018,100,0,0,-nan,0.000000,1133.180000,6.100803,-nan,0.000000,-nan,0.000000,149.310000,19.782502,232.370000,89.727270,34.810000,13.628324
